,layer,position,acc,f1
402,8,34,0.99,0.9899989998999901
403,8,35,0.97,0.96999699969997
404,8,36,0.99,0.9899989998999901
405,8,37,1.0,1.0
406,8,38,0.99,0.9899989998999901
407,8,39,0.99,0.9899989998999901
408,8,40,1.0,1.0
409,8,41,1.0,1.0
410,8,42,1.0,1.0
411,8,43,1.0,1.0
412,8,44,1.0,1.0
413,8,45,1.0,1.0
414,9,0,0.5,0.3333333333333333
415,9,1,0.5,0.3333333333333333
416,9,2,0.5,0.3333333333333333
417,9,3,0.85,0.8492613807657522
418,9,4,0.79,0.7894736842105263
419,9,5,0.79,0.7894736842105263
420,9,6,0.79,0.7894736842105263
421,9,7,0.79,0.7894736842105263
422,9,8,0.79,0.7894736842105263
423,9,9,0.85,0.8492613807657522
424,9,10,0.85,0.8492613807657522
425,9,11,0.85,0.8492613807657522
426,9,12,0.82,0.82
427,9,13,0.83,0.8299829982998299
428,9,14,0.81,0.8099809980998101
429,9,15,0.84,0.8399359743897559
430,9,16,0.86,0.86
431,9,17,0.87,0.8696741854636592
432,9,18,0.85,0.84998499849985
433,9,19,0.83,0.8299829982998299
434,9,20,0.85,0.849624060150376
435,9,21,1.0,1.0
436,9,22,1.0,1.0
437,9,23,1.0,1.0
438,9,24,1.0,1.0
439,9,25,1.0,1.0
440,9,26,0.99,0.9899989998999901
441,9,27,1.0,1.0
442,9,28,1.0,1.0
443,9,29,0.99,0.9899989998999901
444,9,30,1.0,1.0
445,9,31,1.0,1.0
446,9,32,1.0,1.0
447,9,33,0.99,0.9899989998999901
448,9,34,0.99,0.9899989998999901
449,9,35,1.0,1.0
450,9,36,0.98,0.9799919967987194
451,9,37,0.96,0.959983993597439
452,9,38,1.0,1.0
453,9,39,0.98,0.9799919967987194
454,9,40,1.0,1.0
455,9,41,1.0,1.0
456,9,42,0.99,0.9899989998999901
457,9,43,1.0,1.0
458,9,44,1.0,1.0
459,9,45,1.0,1.0
460,10,0,0.5,0.3333333333333333
461,10,1,0.5,0.3333333333333333
462,10,2,0.5,0.3333333333333333
463,10,3,0.85,0.8492613807657522
464,10,4,0.79,0.7894736842105263
465,10,5,0.79,0.7894736842105263
466,10,6,0.79,0.7894736842105263
467,10,7,0.79,0.7894736842105263
468,10,8,0.79,0.7894736842105263
469,10,9,0.85,0.8492613807657522
470,10,10,0.85,0.8492613807657522
471,10,11,0.85,0.8492613807657522
472,10,12,0.85,0.849624060150376
473,10,13,0.82,0.82
474,10,14,0.81,0.8099809980998101
475,10,15,0.85,0.84998499849985
476,10,16,0.85,0.8498648783905515
477,10,17,0.85,0.849624060150376
478,10,18,0.83,0.8298468621759583
479,10,19,0.84,0.8397435897435898
480,10,20,0.84,0.8397435897435898
481,10,21,1.0,1.0
482,10,22,1.0,1.0
483,10,23,1.0,1.0
484,10,24,1.0,1.0
485,10,25,1.0,1.0
486,10,26,0.99,0.9899989998999901
487,10,27,1.0,1.0
488,10,28,1.0,1.0
489,10,29,0.99,0.9899989998999901
490,10,30,1.0,1.0
491,10,31,1.0,1.0
492,10,32,1.0,1.0
493,10,33,1.0,1.0
494,10,34,0.99,0.9899989998999901
495,10,35,1.0,1.0
496,10,36,0.98,0.9799919967987194
497,10,37,0.99,0.9899989998999901
498,10,38,1.0,1.0
499,10,39,0.99,0.9899989998999901
500,10,40,1.0,1.0
501,10,41,1.0,1.0
502,10,42,1.0,1.0
503,10,43,1.0,1.0
504,10,44,1.0,1.0
505,10,45,1.0,1.0
506,11,0,0.5,0.3333333333333333
507,11,1,0.5,0.3333333333333333
508,11,2,0.5,0.3333333333333333
509,11,3,0.85,0.8492613807657522
510,11,4,0.85,0.8492613807657522
511,11,5,0.85,0.8492613807657522
512,11,6,0.79,0.7894736842105263
513,11,7,0.79,0.7894736842105263
514,11,8,0.79,0.7894736842105263
515,11,9,0.85,0.8492613807657522
516,11,10,0.85,0.8492613807657522
517,11,11,0.85,0.8492613807657522
518,11,12,0.82,0.8199279711884754
519,11,13,0.81,0.8099809980998101
520,11,14,0.81,0.8099809980998101
521,11,15,0.88,0.8799519807923168
522,11,16,0.84,0.8397435897435898
523,11,17,0.85,0.849624060150376
524,11,18,0.84,0.84
525,11,19,0.85,0.8498648783905515
526,11,20,0.84,0.839421918908069
527,11,21,1.0,1.0
528,11,22,1.0,1.0
529,11,23,1.0,1.0
530,11,24,1.0,1.0
531,11,25,1.0,1.0
532,11,26,1.0,1.0
533,11,27,1.0,1.0
534,11,28,1.0,1.0
535,11,29,0.99,0.9899989998999901
536,11,30,1.0,1.0
537,11,31,1.0,1.0
538,11,32,1.0,1.0
539,11,33,1.0,1.0
540,11,34,0.99,0.9899989998999901
541,11,35,1.0,1.0
542,11,36,0.98,0.98
543,11,37,0.99,0.9899989998999901
544,11,38,1.0,1.0
545,11,39,0.96,0.959983993597439
546,11,40,1.0,1.0
547,11,41,1.0,1.0
548,11,42,1.0,1.0
549,11,43,1.0,1.0
550,11,44,1.0,1.0
551,11,45,1.0,1.0
